address,size,price,garage,bedroom,bathroom,url
"Rua Coronel Ottoni Maciel, 228 - Vila Izabel, Curitiba - PR",106,R$ 725.000,1 Vaga,3 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-izabel-bairros-curitiba-com-garagem-106m2-venda-RS725000-id-2501621509/
"Avenida Marechal Floriano Peixoto, 696 - Centro, Curitiba - PR",33,R$ 240.000,-- Vaga,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imoveis-lancamento/central-station-2473213876/
"Avenida João Gualberto, 1313 - Juvevê, Curitiba - PR",77,R$ 380.000,1 Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-juveve-bairros-curitiba-com-garagem-77m2-venda-RS380000-id-2468009070/
"Rua Francisco Raitani, 7081 - Capão Raso, Curitiba - PR",70,R$ 260.000,1 Vaga,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capao-raso-bairros-curitiba-com-garagem-70m2-venda-RS260000-id-2506743276/
"Rua Morretes, 1174 - Portão, Curitiba - PR",73,R$ 500.000,2 Vagas,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-73m2-venda-RS500000-id-2472408476/
"Rua Monsenhor Ivo Zanlorenzi, 2537 - Ecoville, Curitiba - PR",107,R$ 599.000,2 Vagas,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ecoville-bairros-curitiba-com-garagem-107m2-venda-RS599000-id-2496363483/
"Rua Campos Sales, 220 - Alto da Glória, Curitiba - PR",169,R$ 700.000,2 Vagas,4 Quartos,4 Banheiros,https://www.vivareal.com.br/imovel/apartamento-4-quartos-alto-da-gloria-bairros-curitiba-com-garagem-169m2-venda-RS700000-id-2501613689/
"Rua Francisco Rocha, 365 - Batel, Curitiba - PR",121,R$ 420.000,1 Vaga,3 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-batel-bairros-curitiba-com-garagem-121m2-venda-RS420000-id-2490121519/
"Avenida Sete de Setembro, 1523 - Cristo Rei, Curitiba - PR",67,R$ 456.000,1-2 Vagas,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imoveis-lancamento/giardino-sette-2487334742/
"Rua Professor Dario Veloso, 186 - Vila Izabel, Curitiba - PR",60,R$ 298.000,1 Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-60m2-venda-RS298000-id-2510610643/
"Rua Pedro Fabri, 165 - Cabral, Curitiba - PR",65,R$ 310.000,1 Vaga,3 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-65m2-venda-RS310000-id-2510078894/
"Avenida Iguaçu, 2960 - Água Verde, Curitiba - PR",102,R$ 650.000,2 Vagas,3 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-102m2-venda-RS650000-id-2477728884/
"Avenida Cândido de Abreu, 433 - Centro Cívico, Curitiba - PR",76,R$ 320.000,-- Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-civico-bairros-curitiba-76m2-venda-RS320000-id-2506309096/
"Rua Guaianazes, 882 - Vila Izabel, Curitiba - PR",78,R$ 580.000,2 Vagas,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-78m2-venda-RS580000-id-2501527340/
"Rua Vale dos Pássaros, 93 - Cidade Industrial, Curitiba - PR",50,R$ 130.000,1 Vaga,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-industrial-bairros-curitiba-com-garagem-50m2-venda-RS130000-id-2467550190/
"Rua Constantino Marochi, 447 - Juvevê, Curitiba - PR",105-173,"A partir de
R$ 900.000",2-3 Vagas,3 Quartos,4-5 Banheiros,https://www.vivareal.com.br/imoveis-lancamento/terrasse-normandie-2467082608/
